"id","name","fullName","activeIngridient","activeMoiety","routeOfAdministration","drugbank_id","genericMedicine","representedOrganization"
172,"Lybrel","Lybrel (Tablet, Film Coated)","levonorgestrel","levonorgestrel","Oral","","levonorgestrel and ethinyl estradiol","Wyeth Pharmaceuticals Inc."
173,"HYPAQUE","HYPAQUE (Injection, Solution)","Diatrizoate Meglumine","","Intravenous","","Diatrizoate Meglumine and Diatrizoate Sodium","Amersham Health Inc."
174,"Elitek","Elitek (Kit)","rasburicase","rasburicase","Intravenous","DB00049","rasburicase","sanofi-aventis U.S. LLC"
175,"Hydrochlorothiazide","Hydrochlorothiazide (Tablet)","hydrochlorothiazide","hydrochlorothiazide","Oral","DB00999","Hydrochlorothiazide","Lannett Company, Inc."
176,"Flagyl ER","Flagyl ER (Tablet, Film Coated, Extended Release)","Metronidazole","Metronidazole","Oral","DB00916","Metronidazole","G.D. Searle, LLC"
177,"Viagra","Viagra (Tablet, Film Coated)","sildenafil citrate","sildenafil","Oral","","sildenafil citrate","Pfizer Inc."
178,"Triostat","Triostat (Injection)","liothyronine sodium","liothyronine","Intravenous","","liothyronine sodium","JHP Pharmaceuticals"
179,"LODOSYN","LODOSYN (Tablet)","carbidopa","carbidopa","Oral","DB00190","CARBIDOPA","Bristol-Myers Squibb Company"
180,"Betamethasone Valerate","Betamethasone Valerate (Cream)","betamethasone valerate","betamethasone","Topical","","Betamethasone Valerate","E. FOUGERA and CO."
181,"Captopril and Hydrochlorothiazide","Captopril and Hydrochlorothiazide (Tablet)","Captopril","Captopril","Oral","","Captopril and Hydrochlorothiazide","Endo Pharmaceuticals Inc."
182,"GENTAMICIN SULFATE","GENTAMICIN SULFATE (Solution)","gentamicin sulfate","gentamicin","Ophthalmic","","gentamicin sulfate","PACIFIC PHARMA"
183,"Midazolam hydrochloride","Midazolam hydrochloride (Syrup)","Midazolam Hydrochloride","Midazolam","Oral","","Midazolam hydrochloride","Paddock Laboratories, Inc."
184,"METOPROLOL TARTRATE","METOPROLOL TARTRATE (Tablet, Film Coated)","metoprolol tartrate","metoprolol","Oral","","metoprolol tartrate","MUTUAL PHARMACEUTICAL CO., INC."
185,"Alclometasone Dipropionate","Alclometasone Dipropionate (Ointment)","alclometasone dipropionate","alclometasone","Topical","","Alclometasone Dipropionate","E. FOUGERA and CO."
186,"Amiodarone Hydrochloride","Amiodarone Hydrochloride (Injection, Solution)","AMIODARONE HYDROCHLORIDE","AMIODARONE","Intravenous","","Amiodarone Hydrochloride","Bedford Laboratories"
187,"Rifampin","Rifampin (Injection, Powder, Lyophilized, For Solution)","rifampin","rifampin","Intravenous","DB01045","Rifampin","Bedford Laboratories"
188,"Isosorbide","Isosorbide (Tablet, Film Coated, Extended Release)","Isosorbide mononitrate","Isosorbide","Oral","DB01020","Isosorbide mononitrate","West-ward Pharmaceutical Corp."
189,"Depo-Provera","Depo-Provera (Injection, Suspension)","medroxyprogesterone acetate","medroxyprogesterone","Intramuscular","","medroxyprogesterone acetate","Pharmacia and Upjohn Company"
190,"Sarafem","Sarafem (Capsule)","Fluoxetine hydrochloride","Fluoxetine","Oral","","Fluoxetine hydrochloride","Eli Lilly and Company"
191,"Hepatasol","Hepatasol (Injection)","Leucine","Leucine","Intravenous","","Leucine, Isoleucine, Valine, Lysine, Threonine, Methionine, Phenylalanine, Tryptophan, Glycine, Proline, Alanine, Arginine, Serine, Histidine and Cysteine","Baxter Healthcare Corporation"
192,"Metoprolol Tartrate","Metoprolol Tartrate (Injection, Solution)","metoprolol tartrate","metoprolol","Intravenous","","Metoprolol Tartrate","Sandoz Inc."
193,"Drisdol","Drisdol (Capsule)","ergocalciferol","ergocalciferol","Oral","DB00153","ergocalciferol","sanofi-aventis U.S. LLC"
194,"Aminocaproic Acid","Aminocaproic Acid (Syrup)","AMINOCAPROIC ACID","AMINOCAPROIC ACID","Oral","DB00513","Aminocaproic Acid","MIKART, INC."
195,"Sodium Chloride","Sodium Chloride (Irrigant)","Sodium Chloride","Sodium Chloride","Irrigation","","Sodium Chloride","B. Braun Medical Inc."
196,"BEXXAR","BEXXAR (Kit)","tositumomab","tositumomab","Intravenous","DB00081","tositumomab","GlaxoSmithKline"
197,"Osmitrol","Osmitrol (Injection, Solution)","Mannitol","mannitol","Intravenous","DB00742","Mannitol","Baxter Healthcare Corporation"
198,"Fluticasone Propionate","Fluticasone Propionate (Spray, Metered)","FLUTICASONE PROPIONATE","FLUTICASONE","Nasal","DB00588","Fluticasone Propionate","Roxane"
199,"Depakote ER","Depakote ER (Tablet, Extended Release)","divalproex sodium","valproic acid","Oral","DB00510","Divalproex sodium","Abbott Laboratories"
200,"Diovan","Diovan (Capsule)","valsartan","valsartan","Oral","DB00177","valsartan","Novartis Pharmaceuticals Corporation"
201,"Zarontin","Zarontin (Capsule)","Ethosuximide","Ethosuximide","Oral","DB00593","Ethosuximide","Parke-Davis"
202,"Lovastatin","Lovastatin (Tablet)","Lovastatin","Lovastatin","Oral","DB00227","Lovastatin","Teva Pharmaceuticals USA"
203,"Fluticasone Propionate","Fluticasone Propionate (Cream)","fluticasone propionate","fluticasone","Topical","DB00588","Fluticasone Propionate","E. FOUGERA and CO."
204,"BLEPHAMIDE","BLEPHAMIDE (Suspension)","sulfacetamide sodium","sulfacetamide","Ophthalmic","","sulfacetamide sodium and prednisolone acetate","Allergan, Inc."
205,"Lisinopril","Lisinopril (Tablet)","Lisinopril","lisinopril","Oral","DB00722","Lisinopril","Aurobindo Pharma Limited"
206,"Vigamox","Vigamox (Solution)","moxifloxacin hydrochloride","moxifloxacin","Ophthalmic","","moxifloxacin hydrochloride","Alcon Laboratories, Inc."
207,"Amiodarone Hydrochloride","Amiodarone Hydrochloride (Tablet)","amiodarone hydrochloride","amiodarone","Oral","","Amiodarone Hydrochloride","Teva Pharmaceuticals USA"
208,"ASTEPRO","ASTEPRO (Spray, Metered)","azelastine hydrochloride","azelastine","Nasal","","azelastine hydrochloride","MEDA Pharmaceuticals"
209,"Aerospan","Aerospan (Aerosol, Metered)","flunisolide hemihydrate","flunisolide","Respiratory (inhalation)","DB00180","flunisolide","Forest Pharmaceuticals, Inc."
210,"Pentoxifylline","Pentoxifylline (Tablet, Film Coated, Extended Release)","Pentoxifylline","Pentoxifylline","Oral","DB00806","Pentoxifylline","Mylan Pharmaceuticals Inc."
211,"TENORETIC","TENORETIC (Tablet)","Atenolol","Atenolol","Oral","DB00335","Atenolol","AstraZeneca Pharmaceuticals LP"
212,"Carbinoxamine Maleate","Carbinoxamine Maleate (Tablet)","CARBINOXAMINE MALEATE","CARBINOXAMINE","Oral","","Carbinoxamine Maleate","Pamlab, L.L.C."
213,"Ciprodex","Ciprodex (Suspension)","ciprofloxacin hydrochloride","ciprofloxacin","Auricular (otic)","","ciprofloxacin and dexamethasone","Alcon, Inc."
214,"Syprine","Syprine (Capsule)","trientine hydrochloride","trientine","Oral","","trientine hydrochloride","Aton Pharma, Inc."
215,"Fosrenol","Fosrenol (Tablet, Chewable)","lanthanum carbonate","lanthanum","Oral","","lanthanum carbonate","Shire US Inc."
216,"Lactulose","Lactulose (Solution)","Lactulose","Lactulose","Oral","DB00581","Lactulose","Pharmaceutical Associates, Inc."
217,"Vasocon","Vasocon (Solution)","naphazoline hydrochloride","naphazoline","Ophthalmic","","Naphazoline hydrochloride","CIBA Vision"
218,"Pristiq","Pristiq (Tablet, Extended Release)","desvenlafaxine succinate","desvenlafaxine","Oral","","Desvenlafaxine succinate","Wyeth Pharmaceuticals Inc."
219,"RIBASPHERE","RIBASPHERE (Tablet, Film Coated)","ribavirin","ribavirin","Oral","DB00811","ribavirin","Three Rivers Pharmaceuticals, LLC"
220,"Oxaprozin","Oxaprozin (Tablet)","Oxaprozin","Oxaprozin","Oral","DB00991","Oxaprozin","Genpharm Inc."
221,"Activella","Activella (Tablet, Film Coated)","ESTRADIOL","estradiol","Oral","","estradiol and norethindrone acetate","Novo Nordisk Inc."
222,"OPHTHETIC","OPHTHETIC (Solution)","proparacaine hydrochloride","proparacaine","Ophthalmic","","proparacaine hydrochloride","Allergan, Inc."
223,"CARAFATE","CARAFATE (Suspension)","sucralfate","sucralfate","Oral","DB00364","sucralfate","Axcan Scandipharm Inc."
224,"Zingo","Zingo (Powder)","lidocaine hydrochloride","lidocaine","Intradermal","","lidocaine hydrochloride","Anesiva, Inc."
225,"Altace","Altace (Capsule)","ramipril","ramipril","Oral","DB00178","ramipril","Monarch Pharmaceuticals, Inc."
226,"Aldactone","Aldactone (Tablet, Film Coated)","spironolactone","spironolactone","Oral","DB00421","spironolactone","G.D. Searle, LLC"
227,"Ampicillin and Sulbactam","Ampicillin and Sulbactam (Injection, Powder, For Solution)","ampicillin sodium","ampicillin","Intravenous","","Ampicillin sodium and Sulbactam sodium","Baxter Healthcare Corporation"
228,"Oxycodone and Acetaminophen","Oxycodone and Acetaminophen (Tablet)","Oxycodone Hydrochloride","oxycodone","Oral","","Oxycodone hydrochloride and Acetaminophen","Qualitest Pharmaceuticals"
229,"Dextrose in Ringer's","Dextrose in Ringer's (Injection)","Dextrose monohydrate","Dextrose","Intravenous","","Dextrose monohydrate","B. Braun Medical Inc."
230,"Sulfadiazine","Sulfadiazine (Tablet)","sulfadiazine","sulfadiazine","Oral","DB00359","Sulfadiazine","Sandoz Inc."
231,"Norditropin","Norditropin (Injection, Solution)","SOMATROPIN","somatropin","Subcutaneous","","somatropin","Novo Nordisk Inc."
232,"Sterile Water","Sterile Water (Injection, Solution)","Water","Water","Intravenous","","Water","Hospira, Inc."
233,"Mebendazole","Mebendazole (Tablet, Chewable)","Mebendazole","Mebendazole","Oral","DB00643","Mebendazole","Teva Pharmaceuticals USA"
234,"Amiodarone Hydrochloride","Amiodarone Hydrochloride (Tablet)","amiodarone hydrochloride","amiodarone","Oral","","Amiodarone Hydrochloride","Sandoz Inc."
235,"Restasis","Restasis (Emulsion)","cyclosporine","cyclosporine","Ophthalmic","DB00091","cyclosporine","Allergan"
236,"OPANA","OPANA (Tablet)","oxymorphone hydrochloride","oxymorphone","Oral","","Oxymorphone Hydrochloride","Endo Pharmaceuticals Inc."
237,"Innofem","Innofem (Tablet, Film Coated)","ESTRADIOL","ESTRADIOL","Oral","DB00783","Estradiol","NOVO NORDISK INC."
238,"Dextrose","Dextrose (Injection, Solution)","Dextrose monohydrate","Dextrose","Intravenous","","Dextrose monohydrate","Hospira, Inc."
239,"Prednisone","Prednisone (Tablet)","prednisone","prednisone","Oral","DB00635","prednisone","Qualitest Pharmaceuticals"
240,"Labetalol HCl","Labetalol HCl (Tablet, Film Coated)","labetalol hydrochloride","labetalol","Oral","","Labetalol hydrochloride","Sandoz Inc."
241,"Dihydroergotamine Mesylate","Dihydroergotamine Mesylate (Injection, Solution)","Dihydroergotamine Mesylate","Dihydroergotamine","Subcutaneous","","Dihydroergotamine Mesylate","Paddock Laboratories, Inc."
242,"Cyclobenzaprine Hydrochloride","Cyclobenzaprine Hydrochloride (Tablet)","Cyclobenzaprine Hydrochloride","Cyclobenzaprine","Oral","","Cyclobenzaprine Hydrochloride","Aurobindo Pharma Limited"
243,"ARIMIDEX","ARIMIDEX (Tablet)","Anastrozole","Anastrozole","Oral","DB01217","Anastrozole","AstraZeneca Pharmaceuticals LP"
244,"Cilostazol","Cilostazol (Tablet)","Cilostazol","Cilostazol","Oral","DB01166","Cilostazol","COREPHARMA LLC."
245,"Aminosyn-RF","Aminosyn-RF (Injection, Solution)","Isoleucine","Isoleucine","Intravenous","","isoleucine, leucine, lysine, methionine, phenylalanine, threonine, tryptophan, valine, arginine and histidine","HOSPIRA, INC."
246,"Hydroxyzine Hydrochloride","Hydroxyzine Hydrochloride (Syrup)","Hydroxyzine Hydrochloride","Hydroxyzine","Oral","","Hydroxyzine Hydrochloride","Morton Grove Pharmaceuticals, Inc."
247,"Rocuronium Bromide","Rocuronium Bromide (Injection, Solution)","Rocuronium Bromide","Rocuronium","Intravenous","","Rocuronium Bromide","Teva Parenteral Medicines, Inc."
248,"Flumazenil","Flumazenil (Injection)","FLUMAZENIL","FLUMAZENIL","Intravenous","DB01205","Flumazenil","Akorn-Strides, LLC"
249,"Prednisolone Sodium Phosphate","Prednisolone Sodium Phosphate (Solution)","Prednisolone Sodium Phosphate","Prednisolone","Oral","","Prednisolone Sodium Phosphate","Morton Grove Pharmaceuticals, Inc."
250,"Disopyramide Phosphate","Disopyramide Phosphate (Capsule, Gelatin Coated)","Disopyramide phosphate","Disopyramide","Oral","","Disopyramide Phosphate","TEVA PHARMACEUTICALS USA"
251,"Diclofenac Sodium","Diclofenac Sodium (Solution)","diclofenac sodium","diclofenac","Ophthalmic","","diclofenac sodium","FALCON Pharmaceuticals, Ltd."
252,"Quinidine Gluconate","Quinidine Gluconate (Solution)","Quinidine gluconate","Quinidine","Intravenous","","Quinidine Gluconate","Eli Lilly and Company"
253,"Phentolamine Mesylate","Phentolamine Mesylate (Injection, Powder, For Solution)","phentolamine mesylate","phentolamine","Intramuscular","","Phentolamine Mesylate","Bedford Laboratories"
254,"Flurbiprofen Sodium","Flurbiprofen Sodium (Solution/ Drops)","Flurbiprofen Sodium","FLURBIPROFEN","Ophthalmic","","Flurbiprofen Sodium","Bausch&Lomb Incorporated"
255,"LIDEX","LIDEX (Cream)","fluocinonide","fluocinonide","Topical","DB01047","fluocinonide","MEDICIS, The Dermatology Company"
256,"Probenecid","Probenecid (Tablet, Film Coated)","Probenecid","Probenecid","Oral","DB01032","Probenecid","Mylan Pharmaceuticals Inc."
257,"Isorbide Dinitrate","Isorbide Dinitrate (Tablet, Extended Release)","Isosorbide dinitrate","Isosorbide dinitrate","Oral","","Isorbide Dinitrate","Inwood Laboratories, Inc."
258,"Sertraline Hydrochloride","Sertraline Hydrochloride (Tablet, Film Coated)","SERTRALINE HYDROCHLORIDE","SERTRALINE","Oral","","Sertraline Hydrochloride","Zydus Pharmaceuticals USA Inc."
259,"Conray","Conray (Injection)","Iothalamate Meglumine","Iothalamic acid","Intravascular","","Iothalamate Meglumine","Mallinckrodt Inc."
260,"DORYX","DORYX (Capsule, Delayed Release Pellets)","doxycycline hyclate","doxycycline","Oral","","doxycycline hyclate","Warner Chilcott (US), Inc."
261,"Daytrana","Daytrana (Patch)","methylphenidate","methylphenidate","Transdermal","DB00422","methylphenidate","Shire US Inc."
262,"Sulfamethoxazole and Trimethoprim","Sulfamethoxazole and Trimethoprim (Tablet)","Sulfamethoxazole","Sulfamethoxazole","Oral","","Sulfamethoxazole and Trimethoprim","Sandoz Inc."
263,"SEREVENT","SEREVENT (Powder)","salmeterol xinafoate","salmeterol","Respiratory (inhalation)","","salmeterol xinafoate","GlaxoSmithKline"
264,"Nasonex","Nasonex (Spray, Metered)","Mometasone furoate","mometasone","Nasal","","Mometasone furoate monohydrate","Schering Corporation"
265,"Acyclovir","Acyclovir (Capsule)","Acyclovir","Acyclovir","Oral","","Acyclovir","Genpharm Inc."
266,"Alprazolam XR","Alprazolam XR (Tablet, Extended Release)","alprazolam","alprazolam","Oral","DB00404","alprazolam","Greenstone LLC"
267,"Nitrofurantoin Monohydrate/Macrocrystals","Nitrofurantoin Monohydrate/Macrocrystals (Capsule)","Nitrofurantoin Monohydrate","Nitrofurantoin","Oral","","Nitrofurantoin Monohydrate and Nitrofurantoin, macrocrystalline","Mylan Pharmaceuticals, Inc."
268,"Milrinone Lactate","Milrinone Lactate (Injection, Solution)","milrinone lactate","milrinone","Intravenous","","Milrinone
Lactate","Baxter Healthcare Corporation"
269,"ULTRAM ER","ULTRAM ER (Tablet, Extended Release)","tramadol hydrochloride","tramadol","Oral","","tramadol hydrochloride","PriCara"
270,"Bethanechol Chloride","Bethanechol Chloride (Tablet)","Bethanechol Chloride","Bethanechol","Oral","","Bethanechol Chloride","Global Pharmaceuticals"
271,"Dovonex","Dovonex (Ointment)","calcipotriene","calcipotriene","Topical","","calcipotriene","Bristol-Myers Squibb Company"
272,"Alprazolam","Alprazolam (Tablet)","alprazolam","alprazolam","Oral","DB00404","alprazolam","Greenstone LLC"
273,"Nutropin AQ","Nutropin AQ (Injection, Solution)","Somatropin","Somatropin","Subcutaneous","","Somatropin","Genentech, Inc."
274,"Cefazolin","Cefazolin (Injection, Solution)","Cefazolin Sodium","Cefazolin","Intravenous","","Cefazolin Sodium","Baxter Healthcare"
275,"NORVIR","NORVIR (Capsule)","ritonavir","ritonavir","Oral","DB00503","ritonavir","Abbott Laboratories"
276,"Ciprofloxacin","Ciprofloxacin (Injection)","Ciprofloxacin","Ciprofloxacin","Intravenous","DB00537","Ciprofloxacin","Teva Parenteral Medicines, Inc."
277,"Lexapro","Lexapro (Tablet)","Escitalopram oxalate","Escitalopram","Oral","","Escitalopram oxalate","Forest Pharmaceuticals, Inc."
278,"Amoxicillin","Amoxicillin (Capsule)","Amoxicillin","Amoxicillin","Oral","DB01060","Amoxicillin","Sandoz Inc."
279,"Seromycin","Seromycin (Capsule)","Cycloserine","Cycloserine","Oral","DB00260","Cycloserine","Eli Lilly and Company"
280,"Ticlopidine Hydrochloride","Ticlopidine Hydrochloride (Tablet, Coated)","Ticlopidine Hydrochloride","TICLOPIDINE","Oral","","Ticlopidine Hydrochloride","Genpharm"
281,"Trimethobenzamide Hydrochloride","Trimethobenzamide Hydrochloride (Injection, Solution)","Trimethobenzamide Hydrochloride","Trimethobenzamide","Intramuscular","","Trimethobenzamide Hydrochloride","Hospira, Inc."
282,"Quinapril","Quinapril (Tablet, Film Coated)","quinapril hydrochloride","quinapril","Oral","DB00881","Quinapril","Apotex Corp."
283,"Lindane","Lindane (Shampoo, Suspension)","Lindane","Lindane","Topical","DB00431","Lindane","Morton Grove Pharmaceuticals, Inc."
284,"AMERGE","AMERGE (Tablet)","naratriptan hydrochloride","naratriptan","Oral","","naratriptan hydrochloride","GlaxoSmithKline"
285,"HYCAMTIN","HYCAMTIN (Capsule)","topotecan hydrochloride","topotecan","Oral","","topotecan hydrochloride","GlaxoSmithKline"
286,"Kinevac","Kinevac (Injection, Powder, Lyophilized, For Solution)","Sincalide","Sincalide","Intravenous","","Sincalide","Bracco Diagnostics Inc."
287,"Oxazepam","Oxazepam (Capsule)","oxazepam","oxazepam","Oral","DB00842","Oxazepam","Sandoz Inc."
288,"DESYREL","DESYREL (Tablet)","trazodone hydrochloride","trazodone","Oral","","trazodone hydrochloride","Bristol-Myers Squibb Company"
289,"Fluoxetine","Fluoxetine (Solution)","Fluoxetine hydrochloride","Fluoxetine","Oral","","Fluoxetine hydrochloride","Morton Grove Pharmaceuticals, Inc."
290,"Clindamycin","Clindamycin (Injection, Solution, Concentrate)","Clindamycin phosphate","Clindamycin","Intramuscular","","clindamycin phosphate","Hospira, Inc."
291,"NAPROXEN SODIUM","NAPROXEN SODIUM (Tablet, Film Coated, Extended Release)","Naproxen Sodium","Naproxen","Oral","","NAPROXEN SODIUM","Watson Pharma, Inc."
292,"Estradiol","Estradiol (Tablet)","Estradiol","Estradiol","Oral","DB00783","Estradiol","Mylan Pharmaceuticals Inc."
293,"Cefprozil","Cefprozil (Tablet, Film Coated)","CEFPROZIL","CEFPROZIL","Oral","DB01150","Cefprozil","Lupin Pharmaceuticals, Inc."
294,"Zazole","Zazole (Cream)","Terconazole","Terconazole","Vaginal","DB00251","terconazole","PharmaDerm"
295,"Lopressor HCT","Lopressor HCT (Tablet)","hydrochlorothiazide","hydrochlorothiazide","Oral","","metoprolol tartrate and hydrochlorothiazide","Novartis Pharmaceuticals Corporation"
